ImageId,ImageSegId,Int/Out A,Int/Out B,Int/Out L,Mean Red,Mean Green,Mean Blue,Std Red,Std Green,Std Blue,f1,f2,color_Asm1,color_Asm2,border1,border2,border3,border1NEW,border2NEW,border3NEW
IM_000839,IM_000839_Segmentation,6.5922329613577775,-5.344394717251634,-24.464932305869265,141.40330451160003,76.13885797448849,59.35634791541821,33.05190449517493,35.996311214579194,29.53273523206011,15.431855149387893,15.27827240818423,6.623157060027991,0.10206487738695534,0.5680000000000001,0.8846153846153845,1.5454545454545454,0.362244897959183,0.46938775510204017,0.6071428571428561
IM_000764,IM_000764_Segmentation,9.435975033216467,11.05230268801445,-17.513378216919904,177.93441414885777,140.76787030213708,119.26768607221813,21.56644994766316,33.10206051851213,37.24874573698865,19.79200442151805,18.343588798820925,2.841391932273951,0.06716193271767552,0.6333333333333322,0.9405940594059404,1.4810126582278464,0.3877551020408146,0.48469387755101856,0.5969387755102016
IM_000847,IM_000847_Segmentation,12.067891751893885,12.272357201923942,-26.932156703419928,191.1212658700523,146.23048917102315,126.17401045556385,38.1838828952841,51.73283496775554,53.67214531436821,34.85894324122479,20.127427184466022,9.573377525265851,0.3314509734585589,0.6198347107438017,0.9215686274509804,1.4500000000000008,0.38265306122448894,0.4795918367346929,0.5918367346938795
IM_000503,IM_000503_Segmentation,-2.9919378386184343,-3.21928196562522,-47.724101331907576,98.6350384758805,86.35567307366352,81.40164073358419,69.89060205014565,65.42857593101954,64.01433981202328,27.04549306756161,23.56252754330655,3.763289647034924,0.032291923255432675,0.5934959349593498,0.8756410256410256,1.3902439024390232,0.372448979591837,0.46683673469387754,0.5816326530612225
IM_000169,IM_000169_Segmentation,-1.8349430779545148,-5.4276247612160775,-29.019240394698,132.19796088388142,101.06141151267504,107.3572420359424,57.5997113666513,52.337377962847604,55.42454647629725,30.616098702741304,33.460546673543064,30.76786673401969,2.3962944013674377,0.5806451612903241,0.8846153846153846,1.4810126582278504,0.3673469387755108,0.4693877551020409,0.5969387755102051
IM_000402,IM_000402_Segmentation,3.88212954971412,8.448085565769222,-5.264762567140664,183.92565712043938,145.8466065123578,120.39015300117693,4.923160531727032,11.711033367255215,18.582775203519518,17.635935661043547,16.5166732051785,7.142127530222857,0.9974276028510184,0.6333333333333342,1.0,1.5454545454545463,0.3877551020408174,0.5000000000000012,0.607142857142858
IM_000234,IM_000234_Segmentation,-2.0376466327038267,-5.062983021175649,-8.463932705696045,143.49182222077562,127.86358976028122,122.15416537829347,29.18986632276062,34.684500974689115,37.186587150806666,21.82581737106775,20.138314319657592,7.627864836494383,0.3137433036192616,0.2584269662921351,0.5433070866141732,0.9797979797979796,0.2053571428571433,0.35204081632653067,0.49489795918367174
IM_000474,IM_000474_Segmentation,11.598973236104404,-0.7595870305617893,-28.975200609832648,182.2770401554404,113.18588082901556,83.68167098445596,39.11435958436829,47.640541690519285,41.294563315090045,29.55035621761657,38.56395725388601,5.6151728806350265,0.11518358692247588,0.568,0.9029126213592232,1.4500000000000013,0.3622448979591834,0.4744897959183676,0.5918367346938773
IM_000143,IM_000143_Segmentation,1.2340252655971151,-5.3088734803002815,-26.251818674442298,163.46024534302592,105.63408241009331,85.36574284416173,43.773488995449036,39.77748406212285,36.17402780064333,18.803480935239232,18.92538356691015,7.403649321605058,0.13536247880396673,0.5555555555555568,0.8846153846153841,1.4810126582278482,0.35714285714285837,0.4693877551020387,0.5969387755102031
IM_000134,IM_000134_Segmentation,8.298157557648558,4.062481888799566,-27.984593906860148,142.85328647003402,112.81893615479383,108.37238205667076,45.03948351051272,53.8278055298714,53.204707046077964,32.089934053192266,22.228857163562573,37.83742101559714,4.153339207692377,0.593495934959348,0.8666666666666658,1.449999999999999,0.37244897959183537,0.4642857142857122,0.5918367346938751
